Source text,Translation,Context,Path,name,new_wording,path,org_wording,output_path
flaps two,襟翼2,,,flp2.wav,襟翼2,cn\flp2.wav,襟翼2,zh-tw\flp2.wav
flaps three,襟翼3,,,flp3.wav,襟翼3,cn\flp3.wav,襟翼3,zh-tw\flp3.wav
flaps four,襟翼4,,,flp4.wav,襟翼4,cn\flp4.wav,襟翼4,zh-tw\flp4.wav
flaps five,襟翼5,,,flp5.wav,襟翼5,cn\flp5.wav,襟翼5,zh-tw\flp5.wav
wingsweep,掠翼,,,wngswp.wav,掠翼,cn\wngswp.wav,掠翼,zh-tw\wngswp.wav
wheelbrakes on,打開腳輪刹車,,,whlbro.wav,打開腳輪刹車,cn\whlbro.wav,打開腳輪刹車,zh-tw\whlbro.wav
wheelbrakes off,關閉腳輪刹車,,,whlbrf.wav,關閉腳輪刹車,cn\whlbrf.wav,關閉腳輪刹車,zh-tw\whlbrf.wav
manual mode,手動模式,,,manmod.wav,手動模式,cn\manmod.wav,手動模式,zh-tw\manmod.wav
acro mode,手動模式,,,acrmod.wav,手動模式,cn\acrmod.wav,手動模式,zh-tw\acrmod.wav
angle mode,自穩模式,,,angmod.wav,自穩模式,cn\angmod.wav,自穩模式,zh-tw\angmod.wav
horizon mode,半自穩模式,,,hznmod.wav,半自穩模式,cn\hznmod.wav,半自穩模式,zh-tw\hznmod.wav
launch mode,拋飛模式,,,lncmod.wav,拋飛模式,cn\lncmod.wav,拋飛模式,zh-tw\lncmod.wav
air mode,空中模式,,,airmod.wav,空中模式,cn\airmod.wav,空中模式,zh-tw\airmod.wav
pit mode,維修站模式,,,pitmod.wav,維修站模式,cn\pitmod.wav,維修站模式,zh-tw\pitmod.wav
navigation cruise,導航巡航,,,navcrs.wav,導航巡航,cn\navcrs.wav,導航巡航,zh-tw\navcrs.wav
navigation course hold,導航巡航保持,,,navcsh.wav,導航巡航保持,cn\navcsh.wav,導航巡航保持,zh-tw\navcsh.wav
navigation altitude hold,導航定高,,,navalh.wav,導航定高,cn\navalh.wav,導航定高,zh-tw\navalh.wav
navigation position hold,導航定點,,,navpos.wav,導航定點,cn\navpos.wav,導航定點,zh-tw\navpos.wav
navigation return to home,導航返航,,,navrth.wav,導航返航,cn\navrth.wav,導航返航,zh-tw\navrth.wav
navigation waypoint,導航航點,,,navwp.wav,導航航點,cn\navwp.wav,導航航點,zh-tw\navwp.wav
cruise,巡航,,,cruise.wav,巡航,cn\cruise.wav,巡航,zh-tw\cruise.wav
course hold,巡航保持,,,crshld.wav,巡航保持,cn\crshld.wav,巡航保持,zh-tw\crshld.wav
altitude hold,定高,,,althld.wav,定高,cn\althld.wav,定高,zh-tw\althld.wav
position hold,定點,,,poshld.wav,定點,cn\poshld.wav,定點,zh-tw\poshld.wav
return to home,返航,,,rth.wav,返航,cn\rth.wav,返航,zh-tw\rth.wav
waypoint,航點,,,waypnt.wav,航點,cn\waypnt.wav,航點,zh-tw\waypnt.wav
manual,手動,,,manual.wav,手動,cn\manual.wav,手動,zh-tw\manual.wav
auto,自動,,,auto.wav,自動,cn\auto.wav,自動,zh-tw\auto.wav
OSD,OSD,,,osd.wav,OSD,cn\osd.wav,OSD,zh-tw\osd.wav
OSD profile,OSD檔案,,,osdprf.wav,OSD檔案,cn\osdprf.wav,OSD檔案,zh-tw\osdprf.wav
attitude hold mode,定高模式,,,sxrahd.wav,定高模式,cn\sxrahd.wav,定高模式,zh-tw\sxrahd.wav
manual mode,手動模式,,,sxrman.wav,手動模式,cn\sxrman.wav,手動模式,zh-tw\sxrman.wav
stabiliser mode,防抖模式,,,sxrsmd.wav,防抖模式,cn\sxrsmd.wav,防抖模式,zh-tw\sxrsmd.wav
stabiliser off,關閉防抖,,,sxrsof.wav,關閉防抖,cn\sxrsof.wav,關閉防抖,zh-tw\sxrsof.wav
stabiliser on,開啟防抖,,,sxrstb.wav,開啟防抖,cn\sxrstb.wav,開啟防抖,zh-tw\sxrstb.wav
wind rejection mode,抗風模式,,,sxrwr.wav,抗風模式,cn\sxrwr.wav,抗風模式,zh-tw\sxrwr.wav
turtle mode on,開啟反烏龜模式,,,turton.wav,開啟反烏龜模式,cn\turton.wav,開啟反烏龜模式,zh-tw\turton.wav
turtle mode off,關閉反烏龜模式,,,turtof.wav,關閉反烏龜模式,cn\turtof.wav,關閉反烏龜模式,zh-tw\turtof.wav
flip,翻滾,,,flip.wav,翻滾,cn\flip.wav,翻滾,zh-tw\flip.wav
Autorotation,自旋降落,heli,,auro.wav,自旋降落,cn\auro.wav,自旋降落,zh-tw\auro.wav
Telemetry connected,遥測訊號連接,,SYSTEM,telemco.wav,回傳訊號建立,,遥測訊號連接,nan
level mode,水平模式,flight controller,,lvlmod.wav,水平模式,,水平模式,nan
